DATASET: ca4663.tsp
47450 72783.3
47166.7 72633.3
47683.3 73050
47850 73550
48833.3 72516.7
49000 72550
49866.7 74350
49566.7 74583.3
49783.3 74866.7
50416.7 73866.7
51883.3 74283.3
56883.3 68983.3
58100 68400
58083.3 67683.3
58533.3 65883.3
58866.7 63250
59066.7 63883.3
58200 62633.3
55066.7 59600
54216.7 58133.3
54166.7 58433.3
53800 57016.7
53733.3 56800
53650 57050
53700 57016.7
53866.7 57000
53816.7 57133.3
53300 55950
53500 55783.3
53266.7 55733.3
53233.3 55716.7
52966.7 55800
52583.3 55883.3
52350 55683.3
52450 55666.7
52300 55833.3
52733.3 55833.3
52366.7 55650
52216.7 55633.3
52233.3 55833.3
52266.7 55583.3
52550 55733.3
52600 55766.7
52683.3 55866.7
52550 55783.3
52450 55683.3
51600 55633.3
51516.7 55483.3
51083.3 55783.3
51366.7 56616.7
51600 56716.7
51733.3 56416.7
51516.7 56133.3
51600 55866.7
51633.3 55900
51550 55733.3
51433.3 55516.7
51166.7 55700
51300 55616.7
51383.3 55600
51600 55533.3
52016.7 55833.3
52533.3 56300
52900 55850
53016.7 55833.3
53400 55783.3
53466.7 55766.7
53483.3 55900
54566.7 57266.7
54450 57216.7
53866.7 56900
53616.7 57433.3
54133.3 57416.7
54466.7 57250
55083.3 59183.3
55183.3 59216.7
55850 60866.7
56550 61683.3
57466.7 61833.3
55450 60216.7
53333.3 60416.7
53300 60300
53533.3 60150
50216.7 62083.3
50183.3 61283.3
50216.7 60716.7
50516.7 59483.3
50350 59816.7
51233.3 58650
50700 59333.3
50783.3 59016.7
50833.3 58950
51316.7 58016.7
51466.7 57716.7
51416.7 57816.7
51416.7 57616.7
51416.7 57200
51183.3 56833.3
51400 56416.7
51283.3 56733.3
51450 56950
51050 56916.7
50716.7 57366.7
50650 57266.7
51016.7 57033.3
51133.3 56800
51516.7 56833.3
51433.3 57116.7
50933.3 56983.3
51016.7 57100
50833.3 57033.3
50750 57166.7
50350 57533.3
50533.3 57383.3
50233.3 57583.3
50033.3 57716.7
49733.3 57933.3
49616.7 57950
49500 57933.3
49450 57766.7
49533.3 57866.7
49500 57883.3
49116.7 58066.7
48966.7 57916.7
49050 58183.3
49483.3 58116.7
48950 57933.3
49916.7 57900
49450 57900
49183.3 57433.3
49083.3 57550
50183.3 57600
49783.3 56633.3
50366.7 56533.3
50250 56500
50533.3 56283.3
50600 56200
50733.3 56100
51033.3 55833.3
50850 56116.7
50000 55866.7
49600 55966.7
49533.3 55833.3
49116.7 55083.3
48950 54550
48850 53983.3
49033.3 53866.7
49183.3 53533.3
49116.7 53616.7
49283.3 53616.7
49233.3 53516.7
49050 53583.3
48983.3 53700
49433.3 53950
49566.7 54250
